id.plot,id.site,longitude,latitude,region,eco.id,eco.name,obs.year,esy4,site.type,hydrology,mngm.type,cwm.abu.sla,cwm.abu.height,cwm.abu.seedmass
M_KOL_A4,M_KOL,11.82447632,51.50647081,centre,654,Central European mixed forests,2023,V38,restored,dry,mowing,187.05,0.44,0.00157
M_KOT_A1,M_KOT,11.97743495,51.76112712,centre,654,Central European mixed forests,2022,R22,restored,fresh,none,235.57,0.51,0.0016
M_KOT_A2,M_KOT,11.97743495,51.76112712,centre,654,Central European mixed forests,2022,R22,restored,fresh,none,226,0.5,0.00247
M_KOT_A3,M_KOT,11.97743495,51.76112712,centre,654,Central European mixed forests,2022,R22,restored,fresh,none,232.77,0.48,0.00212
M_KOT_A4,M_KOT,11.97743495,51.76112712,centre,654,Central European mixed forests,2022,R22,restored,fresh,none,231.43,0.51,0.00276
M_KUH_A1,M_KUH,11.83230936,51.25517652,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,171.73,0.4,0.00311
M_KUH_A2,M_KUH,11.83230936,51.25517652,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,174.32,0.45,0.00321
M_KUH_A3,M_KUH,11.83230936,51.25517652,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,184.57,0.21,0.00124
M_KUH_A4,M_KUH,11.83230936,51.25517652,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,168.75,0.36,0.00252
M_LOB_A1,M_LOB,11.9262047,51.63375412,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,222.5,0.43,0.00505
M_LOB_A2,M_LOB,11.9262047,51.63375412,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,237.8,0.59,0.00444
M_LOB_A3,M_LOB,11.9262047,51.63375412,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,217.71,0.49,0.00442
M_LOB_A4,M_LOB,11.9262047,51.63375412,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,209.37,0.43,0.00612
M_NEL_A1,M_NEL,11.75335512,51.66467973,centre,654,Central European mixed forests,2022,R1B,restored,dry,grazing,147.74,0.36,0.00212
M_NEL_A2,M_NEL,11.75335512,51.66467973,centre,654,Central European mixed forests,2022,R,restored,dry,grazing,176.16,0.43,0.00366
M_NEL_A3,M_NEL,11.75335512,51.66467973,centre,654,Central European mixed forests,2022,R16,restored,dry,grazing,173.91,0.37,0.00211
M_NEL_A4,M_NEL,11.75335512,51.66467973,centre,654,Central European mixed forests,2022,R1B,restored,dry,grazing,151.08,0.32,0.00261
M_NIS_A1,M_NIS,11.76049993,51.20428793,centre,654,Central European mixed forests,2022,R1A,negative,dry,none,218.23,0.31,6.8e-4
M_NIS_A2,M_NIS,11.76049993,51.20428793,centre,654,Central European mixed forests,2022,R1A,negative,dry,none,253.06,0.64,0.00137
M_NIS_A3,M_NIS,11.76049993,51.20428793,centre,654,Central European mixed forests,2022,R1A,negative,dry,none,252.89,0.46,4.8e-4
M_NIS_A4,M_NIS,11.76049993,51.20428793,centre,654,Central European mixed forests,2022,R1A,negative,dry,none,229.18,0.37,6.2e-4
M_PRA_A1,M_PRA,12.67487398,51.84309028,centre,654,Central European mixed forests,2023,R,restored,moist,both,235.19,0.44,0.00311
M_PRA_A2,M_PRA,12.67487398,51.84309028,centre,654,Central European mixed forests,2023,V,restored,moist,both,227.93,0.37,0.00271
M_PRA_A3,M_PRA,12.67487398,51.84309028,centre,654,Central European mixed forests,2023,V,restored,moist,both,231.6,0.32,0.00168
M_PRA_A4,M_PRA,12.67487398,51.84309028,centre,654,Central European mixed forests,2023,R,restored,moist,both,219.49,0.28,0.00102
M_SKF_A1,M_SKF,11.57491171,52.02875982,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,229.78,0.55,0.00158
M_SKF_A2,M_SKF,11.57491171,52.02875982,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,200.87,0.49,6.9e-4
M_SKF_A3,M_SKF,11.57491171,52.02875982,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,183.89,0.44,0.00121
M_SKF_A4,M_SKF,11.57491171,52.02875982,centre,654,Central European mixed forests,2022,R1A,restored,fresh,both,177.5,0.36,6.9e-4
M_SMH_A1,M_SMH,11.59779124,51.33296162,centre,654,Central European mixed forests,2023,R,negative,dry,none,177.63,0.42,0.00254
M_SMH_A2,M_SMH,11.59779124,51.33296162,centre,654,Central European mixed forests,2023,R,negative,dry,none,175.56,0.36,0.00196
M_SMH_A3,M_SMH,11.59779124,51.33296162,centre,654,Central European mixed forests,2023,R1A,negative,dry,none,173.94,0.36,0.00436
M_SMH_A4,M_SMH,11.59779124,51.33296162,centre,654,Central European mixed forests,2023,R,negative,dry,none,173.85,0.47,0.00311
M_SSB_A1,M_SSB,11.72160941,51.21551542,centre,654,Central European mixed forests,2022,R1A,positive,dry,grazing,197.62,0.24,0.00199
M_SSB_A2,M_SSB,11.72160941,51.21551542,centre,654,Central European mixed forests,2022,R1A,positive,dry,grazing,181.09,0.33,0.00236
M_SSB_A3,M_SSB,11.72160941,51.21551542,centre,654,Central European mixed forests,2022,R1A,positive,dry,grazing,188.14,0.27,0.00226
M_SSB_A4,M_SSB,11.72160941,51.21551542,centre,654,Central European mixed forests,2022,R16,positive,dry,grazing,186.18,0.33,0.00226
M_SSL_A1,M_SSL,11.92439633,51.6336248,centre,654,Central European mixed forests,2023,R,positive,dry,none,220.93,0.29,5.6e-4
M_SSL_A2,M_SSL,11.92439633,51.6336248,centre,654,Central European mixed forests,2023,R,positive,dry,none,226.04,0.26,3.3e-4
M_SSL_A3,M_SSL,11.92439633,51.6336248,centre,654,Central European mixed forests,2023,R1A,positive,dry,none,188.34,0.33,0.00146
M_SSL_A4,M_SSL,11.92439633,51.6336248,centre,654,Central European mixed forests,2023,R,positive,dry,none,227.36,0.18,4.1e-4
M_STA_A1,M_STA,12.03915626,51.87081962,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,250.16,0.53,0.00131
M_STA_A2,M_STA,12.03915626,51.87081962,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,251.82,0.71,0.0017
M_STA_A3,M_STA,12.03915626,51.87081962,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,246.06,0.53,0.0015
M_STA_A4,M_STA,12.03915626,51.87081962,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,244.44,0.68,0.00216
M_STF_A1,M_STF,11.6869805,52.28069534,centre,654,Central European mixed forests,2023,R,restored,moist,mowing,243.98,0.39,7.1e-4
M_STF_A2,M_STF,11.6869805,52.28069534,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,237.61,0.44,7.7e-4
M_STF_A3,M_STF,11.6869805,52.28069534,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,267.95,0.5,0.00115
M_STF_A4,M_STF,11.6869805,52.28069534,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,270.38,0.53,0.00105
M_STI_A1,M_STI,11.83597112,51.65776367,centre,654,Central European mixed forests,2023,R,restored,moist,mowing,237.89,0.56,0.00318
M_STI_A2,M_STI,11.83597112,51.65776367,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,237.01,0.56,0.00291
M_STI_A3,M_STI,11.83597112,51.65776367,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,242.56,0.64,0.00209
M_STI_A4,M_STI,11.83597112,51.65776367,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,254.81,0.59,0.00193
M_STN_A1,M_STN,11.51118008,51.27824642,centre,654,Central European mixed forests,2023,V37,restored,dry,grazing,230.64,0.32,0.00127
M_STN_A2,M_STN,11.51118008,51.27824642,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,235.76,0.29,0.00146
M_STN_A3,M_STN,11.51118008,51.27824642,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,190.18,0.3,0.00244
M_STN_A4,M_STN,11.51118008,51.27824642,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,184.86,0.38,0.00347
M_STP_A1,M_STP,12.05356323,51.87379422,centre,654,Central European mixed forests,2023,R22,positive,fresh,mowing,253.19,0.39,0.00133
M_STP_A2,M_STP,12.05356323,51.87379422,centre,654,Central European mixed forests,2023,R,positive,fresh,mowing,240.23,0.47,0.00237
M_STP_A3,M_STP,12.05356323,51.87379422,centre,654,Central European mixed forests,2023,R,positive,fresh,mowing,242.88,0.45,0.00312
M_STP_A4,M_STP,12.05356323,51.87379422,centre,654,Central European mixed forests,2023,R,positive,fresh,mowing,252.79,0.44,0.00118
M_SUL_A1,M_SUL,11.56157811,52.02835511,centre,654,Central European mixed forests,2022,R,negative,fresh,both,258.95,0.51,0.00181
M_SUL_A2,M_SUL,11.56157811,52.02835511,centre,654,Central European mixed forests,2022,R,negative,fresh,both,256.88,0.51,0.00188
M_SUL_A3,M_SUL,11.56157811,52.02835511,centre,654,Central European mixed forests,2022,R,negative,fresh,both,259.38,0.46,0.00161
M_SUL_A4,M_SUL,11.56157811,52.02835511,centre,654,Central European mixed forests,2022,R,negative,fresh,both,257.02,0.51,0.0016
M_TAN_A1,M_TAN,11.75682108,51.64052353,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,178.73,0.25,0.00185
M_TAN_A2,M_TAN,11.75682108,51.64052353,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,184.15,0.3,0.00194
M_TAN_A3,M_TAN,11.75682108,51.64052353,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,168.05,0.34,0.00218
M_TAN_A4,M_TAN,11.75682108,51.64052353,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,172.86,0.4,0.00204
M_TRE_A1,M_TRE,11.96757714,51.64524689,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,209.3,0.51,0.00149
M_TRE_A2,M_TRE,11.96757714,51.64524689,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,205.93,0.46,0.002
M_TRE_A3,M_TRE,11.96757714,51.64524689,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,208.81,0.49,0.00221
