id.plot,id.site,longitude,latitude,region,eco.id,eco.name,obs.year,esy4,site.type,hydrology,mngm.type,cwm.abu.oek.f,cwm.abu.oek.f.site,cwm.abu.oek.l,cwm.abu.oek.l.site,cwm.abu.sla,cwm.abu.height,cwm.abu.seedmass,fric.abu.sla,fric.abu.height,fric.abu.seedmass
M_SKF_A3,M_SKF,11.57491171,52.02875982,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,3.58,4.0925,7.55,7.3675,183.89,0.44,0.00121,18.46,17.27,10.48717
M_SKF_A4,M_SKF,11.57491171,52.02875982,centre,654,Central European mixed forests,2022,R1A,restored,fresh,both,3.75,4.0925,7.41,7.3675,177.5,0.36,6.9e-4,18.46,14.33,17.44567
M_SMH_A3,M_SMH,11.59779124,51.33296162,centre,654,Central European mixed forests,2023,R1A,negative,dry,none,3.32,3.245,7.55,7.855,173.94,0.36,0.00436,67.38,25.32,12.40834
M_SSB_A1,M_SSB,11.72160941,51.21551542,centre,654,Central European mixed forests,2022,R1A,positive,dry,grazing,2.43,2.5225,7.49,7.5425,197.62,0.24,0.00199,72.25,24.65,5.77374
M_SSB_A2,M_SSB,11.72160941,51.21551542,centre,654,Central European mixed forests,2022,R1A,positive,dry,grazing,2.79,2.5225,7.79,7.5425,181.09,0.33,0.00236,36.9,43.18,11.81098
M_SSB_A3,M_SSB,11.72160941,51.21551542,centre,654,Central European mixed forests,2022,R1A,positive,dry,grazing,2.56,2.5225,7.25,7.5425,188.14,0.27,0.00226,14.13,18.29,5.40386
M_SSL_A3,M_SSL,11.92439633,51.6336248,centre,654,Central European mixed forests,2023,R1A,positive,dry,none,2.95,2.93,7.31,7.9125,188.34,0.33,0.00146,8.62,30.15,10.02978
M_STA_A1,M_STA,12.03915626,51.87081962,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,4.58,4.6875,7.24,7.2575,250.16,0.53,0.00131,8.28,157.79,21.03435
M_STA_A2,M_STA,12.03915626,51.87081962,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,5.22,4.6875,7.16,7.2575,251.82,0.71,0.0017,6.1,22.74,9.20975
M_STA_A4,M_STA,12.03915626,51.87081962,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,4.49,4.6875,7.39,7.2575,244.44,0.68,0.00216,8.28,37.25,64.30386
M_STF_A2,M_STF,11.6869805,52.28069534,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,4.83,5.0175,7.04,7.07,237.61,0.44,7.7e-4,13.29,22.74,118.64473
M_STF_A3,M_STF,11.6869805,52.28069534,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,5.13,5.0175,7.16,7.07,267.95,0.5,0.00115,31.65,22.74,41.12515
M_STF_A4,M_STF,11.6869805,52.28069534,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,5.44,5.0175,7.03,7.07,270.38,0.53,0.00105,33.03,22.74,32.15635
M_STI_A2,M_STI,11.83597112,51.65776367,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,4.44,4.515,7.28,7.2025,237.01,0.56,0.00291,4.94,22.74,8.15184
M_STI_A3,M_STI,11.83597112,51.65776367,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,4.29,4.515,7.32,7.2025,242.56,0.64,0.00209,10.97,22.74,8.15184
M_STI_A4,M_STI,11.83597112,51.65776367,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,5.04,4.515,7.03,7.2025,254.81,0.59,0.00193,5.72,22.74,25.14454
M_STN_A2,M_STN,11.51118008,51.27824642,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,3.66,3.5075,7.71,7.705,235.76,0.29,0.00146,102.52,60.77,35.09273
M_STN_A3,M_STN,11.51118008,51.27824642,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,2.95,3.5075,7.57,7.705,190.18,0.3,0.00244,123,60.77,208.84567
M_STN_A4,M_STN,11.51118008,51.27824642,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,2.84,3.5075,8,7.705,184.86,0.38,0.00347,102.52,35.76,27.90032
M_STP_A1,M_STP,12.05356323,51.87379422,centre,654,Central European mixed forests,2023,R22,positive,fresh,mowing,4.58,4.715,6.72,6.8925,253.19,0.39,0.00133,36.25,84.57,64.30386
M_TAN_A1,M_TAN,11.75682108,51.64052353,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.33,3.115,7.43,7.82,178.73,0.25,0.00185,219.55,42.67,19.71596
M_TAN_A2,M_TAN,11.75682108,51.64052353,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.1,3.115,7.86,7.82,184.15,0.3,0.00194,30.75,42.67,19.71145
M_TAN_A3,M_TAN,11.75682108,51.64052353,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,2.97,3.115,8.02,7.82,168.05,0.34,0.00218,26.28,34.72,14.5145
M_TAN_A4,M_TAN,11.75682108,51.64052353,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.06,3.115,7.97,7.82,172.86,0.4,0.00204,28.55,30.54,10.90944
M_TRE_A3,M_TRE,11.96757714,51.64524689,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,3.99,4.0225,7.19,7.1025,208.81,0.49,0.00221,12.97,21.12,32.15635
M_TRE_A4,M_TRE,11.96757714,51.64524689,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,4.15,4.0225,7.39,7.1025,215.92,0.53,0.00196,10.87,22.74,17.2144
M_TTH_A1,M_TTH,11.74525195,51.20022449,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,2.76,2.6525,7.7,7.575,186.38,0.21,6.2e-4,74.64,42.67,208.84567
M_TTH_A2,M_TTH,11.74525195,51.20022449,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,2.82,2.6525,7.89,7.575,161.96,0.27,7.2e-4,38.64,79.82,19.35166
M_TTO_A1,M_TTO,11.73221691,51.18472096,centre,654,Central European mixed forests,2022,R1A,positive,dry,grazing,3.58,3.23,6.95,7.1525,210.49,0.28,7.8e-4,24.44,57.77,141.96711
M_TTO_A2,M_TTO,11.73221691,51.18472096,centre,654,Central European mixed forests,2022,R1A,positive,dry,grazing,3.15,3.23,7.2,7.1525,188.85,0.22,5.3e-4,33.53,49.47,362.26676
M_TTO_A3,M_TTO,11.73221691,51.18472096,centre,654,Central European mixed forests,2022,R1A,positive,dry,grazing,3.19,3.23,7.23,7.1525,192.46,0.2,0.00104,22.19,49.47,141.96711
M_TTO_A4,M_TTO,11.73221691,51.18472096,centre,654,Central European mixed forests,2022,R1A,positive,dry,grazing,3,3.23,7.23,7.1525,172.46,0.16,0.00127,23.06,49.47,147.5485
M_TTP_A1,M_TTP,11.75171156,51.20209679,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.29,3.16,7.99,7.965,173.01,0.35,0.00142,26.72,42.81,204.69771
M_TTP_A2,M_TTP,11.75171156,51.20209679,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.1,3.16,8.01,7.965,163.93,0.31,0.00152,39.48,73.07,19.08157
M_TTP_A3,M_TTP,11.75171156,51.20209679,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.19,3.16,7.73,7.965,182.42,0.33,0.00152,26.72,38.21,19.71145
M_TTP_A4,M_TTP,11.75171156,51.20209679,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.06,3.16,8.13,7.965,148.9,0.31,0.00167,26.28,56.23,147.5485
M_VOC_A2,M_VOC,12.33854304,51.85665776,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,4.81,4.945,7.21,6.995,230.36,0.54,0.00198,10.3,22.74,27.24964
M_VOC_A3,M_VOC,12.33854304,51.85665776,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,5.41,4.945,6.99,6.995,251.47,0.57,0.00179,11.26,21.12,16.33961
M_WDG_A1,M_WDG,11.4834876,52.2889212,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,4.67,4.56,7.06,7.21,223.78,0.42,0.00179,16.47,17.27,13.23393
M_WDG_A2,M_WDG,11.4834876,52.2889212,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,4.64,4.56,7.32,7.21,214.66,0.38,0.00121,14.39,92.46,18.96581
M_WED_A1,M_WED,11.48918164,52.2679638,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,4.99,5.0275,7.21,7.3375,246.8,0.72,0.00264,40.35,24.03,8.15184
M_WED_A2,M_WED,11.48918164,52.2679638,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,4.77,5.0275,7.21,7.3375,231.65,0.71,0.00243,11.91,9.9,7.26342
M_WED_A3,M_WED,11.48918164,52.2679638,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,5.03,5.0275,7.63,7.3375,229.9,0.83,0.00243,11.91,10.46,7.62903
M_WED_A4,M_WED,11.48918164,52.2679638,centre,654,Central European mixed forests,2023,R22,restored,moist,mowing,5.32,5.0275,7.3,7.3375,275.05,0.69,0.00188,9.75,11.71,18.20325
M_WUN_A4,M_WUN,11.91088705,51.85409945,centre,654,Central European mixed forests,2022,R22,negative,fresh,mowing,5.83,6.2475,6.22,7.065,238.69,0.54,0.00134,9.75,93.35,8.23526
N_AFE_A1,N_AFE,10.60355741,52.57145886,north,664,European Atlantic mixed forests,2023,R22,restored,fresh,both,4.21,4.65,7.49,6.94,263.56,0.64,0.00205,5.41,22.74,28.15501
N_AFE_A2,N_AFE,10.60355741,52.57145886,north,664,European Atlantic mixed forests,2023,R22,restored,fresh,both,4.69,4.65,6.71,6.94,219,0.41,0.00134,9.22,10.85,28.15501
N_AFE_A3,N_AFE,10.60355741,52.57145886,north,664,European Atlantic mixed forests,2023,R22,restored,fresh,both,4.69,4.65,6.71,6.94,218.34,0.35,0.00119,9.22,28.82,56.25596
N_AFE_A4,N_AFE,10.60355741,52.57145886,north,664,European Atlantic mixed forests,2023,R22,restored,fresh,both,5.01,4.65,6.85,6.94,244.75,0.34,0.00121,8.85,99.01,43.30321
N_ALA_A1,N_ALA,11.63909778,52.99585029,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,mowing,5.2,5.095,6.93,6.84,223.43,0.58,6.2e-4,7.08,12.84,23.04331
N_ALA_A2,N_ALA,11.63909778,52.99585029,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,mowing,5.06,5.095,6.82,6.84,225.2,0.54,0.00126,14.67,16.31,105.71441
N_ALA_A3,N_ALA,11.63909778,52.99585029,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,mowing,4.91,5.095,6.91,6.84,223.27,0.56,0.00103,7.68,12.43,10.39223
N_ALA_A4,N_ALA,11.63909778,52.99585029,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,mowing,5.21,5.095,6.7,6.84,237.83,0.56,0.0011,11.27,12.43,105.71441
N_ARE_A1,N_ARE,11.41380242,52.90835525,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,mowing,5.35,5.41,7.01,7.0475,265.1,0.36,6.4e-4,5.41,9.78,77.09859
N_ARE_A2,N_ARE,11.41380242,52.90835525,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,mowing,5.64,5.41,7.14,7.0475,293.57,0.57,6.7e-4,5.41,10.53,17.2144
N_ARE_A3,N_ARE,11.41380242,52.90835525,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,mowing,5.59,5.41,7.16,7.0475,286.03,0.56,6.7e-4,5.41,21.12,16.33961
N_ARE_A4,N_ARE,11.41380242,52.90835525,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,mowing,5.06,5.41,6.88,7.0475,255.26,0.4,7.5e-4,5.41,10.53,81.2263
N_BEB_A1,N_BEB,10.58705219,52.56455023,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,both,5.59,5.505,6.69,6.7625,285.43,0.52,0.00104,5.25,9.43,37.27973
N_BEB_A2,N_BEB,10.58705219,52.56455023,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,both,5.15,5.505,6.67,6.7625,244.8,0.46,0.0015,15.28,9.6,37.27973
N_BEB_A3,N_BEB,10.58705219,52.56455023,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,both,5.56,5.505,6.89,6.7625,289.09,0.55,8.5e-4,5.64,9.85,37.27973
N_BEB_A4,N_BEB,10.58705219,52.56455023,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,both,5.72,5.505,6.8,6.7625,295.42,0.56,8.5e-4,5.41,8.25,26.72425
N_BEN_A4,N_BEN,10.61579891,52.64595831,north,664,European Atlantic mixed forests,2023,R22,negative,fresh,mowing,4.91,5.3025,7.11,6.355,230.98,0.44,0.00246,7.87,10.49,28.15501
N_BIT_A1,N_BIT,9.712489826,54.06746828,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,grazing,4.38,4.795,7.45,6.92,272.17,0.45,2.7e-4,5.64,9.75,10.79376
N_BIT_A2,N_BIT,9.712489826,54.06746828,north,664,European Atlantic mixed forests,2022,R22,restored,fresh,grazing,4.64,4.795,6.51,6.92,210.01,0.32,9.5e-4,5.64,20.12,10.79376
