id.plot,id.site,longitude,latitude,region,eco.id,eco.name,obs.year,esy4,site.type,hydrology,mngm.type,cwm.abu.oek.f,cwm.abu.oek.f.site,cwm.abu.oek.l,cwm.abu.oek.l.site,cwm.abu.sla,cwm.abu.height,cwm.abu.seedmass,fric.abu.sla,fric.abu.height,fric.abu.seedmass,fdis.abu.oek.f,fdis.abu.oek.l,fdis.abu.sla,fdis.abu.height,fdis.abu.seedmass,feve.abu.sla,feve.abu.height,feve.abu.seedmass
M_DOB_A1,M_DOB,11.76306711,51.62001263,centre,654,Central European mixed forests,2022,R,restored,dry,mowing,3.9,3.8075,7.7,7.52,203.38,0.47,6.4e-4,11.68,23.38,10.02978,0.27,0.61,1.61,1.52,1.57994,1.55,1.49,1.50727
M_DOB_A2,M_DOB,11.76306711,51.62001263,centre,654,Central European mixed forests,2022,R1A,restored,dry,mowing,3.81,3.8075,7.7,7.52,220.41,0.46,8.2e-4,10.48,27.62,13.75422,0.26,0.53,1.65,1.6,1.58756,1.56,1.52,1.49926
M_DOB_A3,M_DOB,11.76306711,51.62001263,centre,654,Central European mixed forests,2022,R,restored,dry,mowing,3.75,3.8075,7.43,7.52,191.64,0.45,8.5e-4,22.48,17.27,13.75422,0.35,0.73,1.66,1.57,1.5356,1.6,1.51,1.5035
M_DOB_A4,M_DOB,11.76306711,51.62001263,centre,654,Central European mixed forests,2022,R,restored,dry,mowing,3.77,3.8075,7.25,7.52,200.88,0.49,0.0013,21.38,21.12,13.59209,0.37,0.61,1.8,1.52,1.54164,1.8,1.44,1.26555
M_DOR_A1,M_DOR,11.81450305,51.64508573,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,4.33,4.1825,7.07,7.32,205.18,0.5,0.00161,7.44,13.76,10.02978,0.27,0.39,1.83,1.76,2.18872,1.73,1.55,1.60354
M_DOR_A2,M_DOR,11.81450305,51.64508573,centre,654,Central European mixed forests,2022,R,restored,fresh,mowing,4.17,4.1825,7.36,7.32,216.32,0.64,0.00101,5.33,22.74,12.40834,0.15,0.43,2.01,2.09,1.97023,1.47,1.21,1.41465
M_DOR_A3,M_DOR,11.81450305,51.64508573,centre,654,Central European mixed forests,2022,R22,restored,fresh,mowing,4.11,4.1825,7.57,7.32,251.21,0.71,0.0023,8.18,9.9,10.02978,0.12,0.45,1.65,2.39,1.59215,1.68,1.61,1.6649
M_DOR_A4,M_DOR,11.81450305,51.64508573,centre,654,Central European mixed forests,2022,R,restored,fresh,mowing,4.12,4.1825,7.28,7.32,252.28,0.79,0.00153,5.77,21.12,11.33226,0.1,0.38,1.35,1.43,1.4946,1.78,1.48,1.7056
M_EIC_A1,M_EIC,12.18899395,51.85716614,centre,654,Central European mixed forests,2023,R,negative,fresh,both,5.02,5.1775,6.84,6.52,245.39,0.49,0.00614,3.97,84.57,17.95726,0.41,0.61,1.31,1.47,1.94528,1.31,1.13,1.78198
M_EIC_A2,M_EIC,12.18899395,51.85716614,centre,654,Central European mixed forests,2023,R,negative,fresh,both,5.91,5.1775,6.26,6.52,238.55,0.59,0.00143,1.74,13.85,10.97934,0.31,0.35,1.17,1.55,1.62733,1.54,1.41,1.90823
M_EIC_A3,M_EIC,12.18899395,51.85716614,centre,654,Central European mixed forests,2023,V,negative,fresh,both,4.42,5.1775,6.54,6.52,239.06,0.45,0.00925,2.42,5.76,15.08345,0.33,0.74,1.25,1.64,1.64918,1.21,1.47,1.64134
M_EIC_A4,M_EIC,12.18899395,51.85716614,centre,654,Central European mixed forests,2023,R,negative,fresh,both,5.36,5.1775,6.44,6.52,230.57,0.44,0.00188,8.77,203.53,11.90714,0.36,0.58,1.33,1.93,1.70438,1.39,1.33,1.40096
M_FAL_A1,M_FAL,11.35946299,51.74746391,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,4.57,4.575,6.98,6.8775,238.81,0.6,0.00137,27.68,13.56,6.58921,0.47,0.66,1.38,1.42,1.50701,1.2,1.26,1.50353
M_FAL_A2,M_FAL,11.35946299,51.74746391,centre,654,Central European mixed forests,2023,V,restored,fresh,mowing,4.82,4.575,6.58,6.8775,216.78,0.4,0.0012,27.68,56.23,12.94973,0.2,0.6,1.43,1.91,2.11498,1.36,1.09,1.85993
M_FAL_A3,M_FAL,11.35946299,51.74746391,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,4.55,4.575,7.04,6.8775,226.99,0.58,0.00201,27.68,13.56,13.91457,0.35,0.72,1.53,1.56,1.58082,1.37,1.25,1.16374
M_FAL_A4,M_FAL,11.35946299,51.74746391,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,4.36,4.575,6.91,6.8775,221.17,0.49,0.00118,3.72,23.69,11.90714,0.48,0.71,1.32,1.6,1.63474,1.82,1.56,1.57755
M_FRB_A1,M_FRB,11.73327072,51.62485865,centre,654,Central European mixed forests,2023,R,restored,dry,grazing,3.49,3.51,7.8,7.69,156.38,0.28,0.00235,30.75,37.25,17.2144,0.28,0.75,2.63,1.39,1.82004,1.32,1.19,1.56204
M_FRB_A2,M_FRB,11.73327072,51.62485865,centre,654,Central European mixed forests,2023,V11,restored,dry,grazing,3.22,3.51,7.98,7.69,193.14,0.28,0.0014,80.26,46.56,34.67132,0.28,0.57,2.51,2.21,1.61185,1.51,1.38,1.41753
M_FRB_A3,M_FRB,11.73327072,51.62485865,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,3.29,3.51,7.67,7.69,165.22,0.27,0.00272,80.26,78.52,51.28466,0.24,0.68,2.54,1.66,1.64491,1.62,1.31,1.54158
M_FRB_A4,M_FRB,11.73327072,51.62485865,centre,654,Central European mixed forests,2023,R,restored,dry,grazing,4.04,3.51,7.31,7.69,192.22,0.34,0.00244,30.75,27.62,25.14454,0.29,0.67,2,1.75,1.85722,1.64,1.51,1.5395
M_GRO_A1,M_GRO,11.68390121,51.76579064,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,4.36,4.54,7.61,7.6225,265.26,0.65,0.00169,7.68,22.74,12.26208,0.24,0.51,1.26,2.33,1.47491,1.51,1.49,1.6435
M_GRO_A2,M_GRO,11.68390121,51.76579064,centre,654,Central European mixed forests,2022,R22,restored,fresh,both,4.31,4.54,7.54,7.6225,264.81,0.72,0.00212,28.96,22.74,12.26208,0.24,0.55,1.26,2.27,1.2928,1.48,1.33,1.68878
M_GRO_A3,M_GRO,11.68390121,51.76579064,centre,654,Central European mixed forests,2022,R,restored,fresh,both,4.63,4.54,7.59,7.6225,271.65,0.82,0.00219,7.68,22.74,12.26208,0.24,0.55,1.18,2.15,1.34654,1.51,1.59,1.78605
M_GRO_A4,M_GRO,11.68390121,51.76579064,centre,654,Central European mixed forests,2022,R,restored,fresh,both,4.86,4.54,7.75,7.6225,270.95,1,0.00264,23.77,22.74,12.26208,0.14,0.39,1.22,1.54,1.11211,1.53,1.4,1.38526
M_HAH_A1,M_HAH,11.62972068,51.30873546,centre,654,Central European mixed forests,2023,R1A,positive,dry,none,2.81,2.695,7.72,7.285,159.63,0.22,6e-4,32.76,43.18,6.53464,0.33,0.64,1.55,2.36,1.30826,1.42,1.57,1.52016
M_HAH_A2,M_HAH,11.62972068,51.30873546,centre,654,Central European mixed forests,2023,R1A,positive,dry,none,2.77,2.695,7.07,7.285,193.88,0.16,8.6e-4,19.15,33.34,85.03684,0.45,0.44,1.44,3.48,1.6948,1.27,1.18,1.59836
M_HAH_A4,M_HAH,11.62972068,51.30873546,centre,654,Central European mixed forests,2023,R1A,positive,dry,none,2.99,2.695,7.18,7.285,189.64,0.1,2.5e-4,19.15,33.34,85.03684,0.46,0.52,1.4,2.33,1.98817,1.75,1.4,1.81914
M_HAR_A1,M_HAR,11.08520296,51.82462193,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,4.19,4.3025,7.06,7.0975,203.45,0.53,0.00338,7.06,13.76,26.72425,0.19,0.32,1.54,1.69,1.56518,1.81,1.41,1.67704
M_HAR_A2,M_HAR,11.08520296,51.82462193,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,4.24,4.3025,6.98,7.0975,216.28,0.56,0.00333,8.38,17.44,15.92531,0.23,0.35,1.63,1.71,1.58526,1.91,1.47,1.56819
M_HAR_A3,M_HAR,11.08520296,51.82462193,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,4.48,4.3025,7.03,7.0975,217.39,0.63,0.00297,7.06,13.76,17.27458,0.26,0.48,1.65,1.89,1.4923,1.57,1.54,1.61871
M_HAR_A4,M_HAR,11.08520296,51.82462193,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,4.3,4.3025,7.32,7.0975,239.88,0.68,0.0029,7.1,77.51,14.71078,0.37,0.67,1.59,2,1.37819,1.55,1.25,1.67221
M_HIR_A1,M_HIR,11.68710429,51.1981926,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.39,3.7325,7.64,7.23,204.59,0.35,0.00118,14.63,47.14,204.69771,0.25,0.65,1.85,1.7,2.00904,1.58,1.25,1.54002
M_HIR_A2,M_HIR,11.68710429,51.1981926,centre,654,Central European mixed forests,2022,?,restored,dry,grazing,4.09,3.7325,7.07,7.23,207.06,0.4,0.00144,21.34,47.14,13.75422,0.31,0.67,1.72,1.64,1.70411,1.69,1.4,1.73002
M_HIR_A3,M_HIR,11.68710429,51.1981926,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.71,3.7325,7.28,7.23,224.03,0.42,0.00166,32.79,12.75,90.03656,0.22,0.82,1.6,1.37,1.8804,1.62,1.45,1.33838
M_HIR_A4,M_HIR,11.68710429,51.1981926,centre,654,Central European mixed forests,2022,R1A,restored,dry,grazing,3.74,3.7325,6.93,7.23,210.04,0.41,0.00125,14.44,47.14,147.5485,0.27,0.88,1.66,1.6,1.73964,1.72,1.34,1.51287
M_HNB_A1,M_HNB,11.77775515,51.2062993,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,4.02,3.8675,7.26,7.315,180.11,0.35,0.00154,19.5,14.41,12.541,0.18,0.4,1.77,1.72,1.65701,1.62,1.82,1.7458
