id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,esy4,esy16,land.use.hist,obs.year,site.type,hydrology,mngm.type,rest.age,fdis.abu.oek.f,cwm.abu.oek.f,fdis.pres.oek.f,cwm.pres.oek.f,cwm.abu.oek.f.site,cwm.pres.oek.f.site,fdis.abu.oek.l,cwm.abu.oek.l,fdis.pres.oek.l,cwm.pres.oek.l,cwm.abu.oek.l.site,cwm.pres.oek.l.site,fdis.abu.sla,fric.abu.sla,feve.abu.sla,cwm.abu.sla,fdis.pres.sla,fric.pres.sla,feve.pres.sla,cwm.pres.sla,fdis.abu.height,fric.abu.height,feve.abu.height,cwm.abu.height,fdis.pres.height,fric.pres.height,feve.pres.height,cwm.pres.height,fdis.abu.seedmass,fric.abu.seedmass,feve.abu.seedmass,cwm.abu.seedmass,fdis.pres.seedmass,fric.pres.seedmass,feve.pres.seedmass,cwm.pres.seedmass
M_BRA_A2,M_BRA,centre,654,Central European mixed forests,122.0899963,11.86698516,51.54885765,R,R1A,arable land,2023,restored,dry,both,10,0.19,4.78,0.32,4,4.28,3.965,0.54,6.39,0.64,7.24,7.19,7.27,1.74,53.03,1.47,235.66,1.99,53.03,1.72,210.81,1.35,12.18,1.78,0.38,1.8,12.18,1.89,0.37,1.79247,19.91474,1.48354,0.0045,2.00738,19.91474,1.98033,0.00106
M_BRA_A3,M_BRA,centre,654,Central European mixed forests,122.0899963,11.86698516,51.54885765,R,R1A,arable land,2023,restored,dry,both,10,0.46,3.31,0.4,3.73,4.28,3.965,0.74,7.9,0.68,7.26,7.19,7.27,1.94,12.76,1.32,190.48,2.01,12.76,1.87,224.61,1.58,72.12,1.43,0.3,1.89,72.12,1.54,0.3,1.94626,18.25618,1.27852,6.90E-04,1.94182,18.25618,2.05718,7.70E-04
M_BRA_A4,M_BRA,centre,654,Central European mixed forests,122.0899963,11.86698516,51.54885765,R1A,R1A,arable land,2023,restored,dry,both,10,0.42,4.31,0.3,4.06,4.28,3.965,1.09,7.63,0.64,7.33,7.19,7.27,3.01,53.03,1.48,245.27,1.99,53.03,1.84,205.46,1.33,9.78,1.4,0.41,1.77,9.78,1.71,0.39,2.16394,16.33961,1.47823,0.00503,1.95389,16.33961,2.04692,0.00151
M_BUH_A1,M_BUH,centre,654,Central European mixed forests,104.7900009,10.60948255,52.00891,R22,R,arable land,2022,restored,fresh,both,3,0.33,4.72,0.45,4.86,4.465,4.56,0.34,7.15,0.48,7.22,7.2,7.2825,1.47,10.3,1.32,235,1.61,10.3,1.8,231.56,1.46,13.76,1.46,0.57,1.53,13.76,1.7,0.49,1.31383,8.96083,1.48447,9.40E-04,1.49741,8.96083,1.76408,0.00113
M_BUH_A2,M_BUH,centre,654,Central European mixed forests,104.7900009,10.60948255,52.00891,R,R,arable land,2022,restored,fresh,both,3,0.32,4.42,0.46,4.52,4.465,4.56,0.32,7.15,0.61,7.3,7.2,7.2825,1.55,36.25,1.33,219.8,1.63,36.25,1.59,236.79,1.37,13.76,1.56,0.49,1.57,13.76,1.65,0.44,1.32329,10.1279,1.55237,8.90E-04,1.71228,10.1279,1.78512,0.00106
M_BUH_A3,M_BUH,centre,654,Central European mixed forests,104.7900009,10.60948255,52.00891,R,R,arable land,2022,restored,fresh,both,3,0.32,4.42,0.43,4.4,4.465,4.56,0.43,7.27,0.56,7.31,7.2,7.2825,1.56,9.39,1.64,221.3,1.61,9.39,1.84,227.1,1.46,13.76,1.5,0.55,1.56,13.76,1.75,0.48,1.40729,13.75422,1.66294,0.00101,1.68979,13.75422,1.8347,0.00152
M_BUH_A4,M_BUH,centre,654,Central European mixed forests,104.7900009,10.60948255,52.00891,R,R,arable land,2022,restored,fresh,both,3,0.27,4.3,0.43,4.46,4.465,4.56,0.4,7.23,0.57,7.3,7.2,7.2825,1.52,12.15,1.41,215.29,1.62,12.15,1.78,231.18,1.36,18.11,1.59,0.52,1.66,18.11,1.75,0.46,1.45116,10.1279,1.73408,7.90E-04,1.68062,10.1279,1.75697,0.00115
M_CAL_A1,M_CAL,centre,654,Central European mixed forests,54.95999908,11.8127823,51.91316941,R22,R22,arable land,2022,restored,fresh,mowing,6,0.17,4.21,0.18,4.23,4.2825,4.3775,0.52,7.64,0.55,7.44,7.5825,7.4075,1.99,8.41,1.46,226.02,1.74,8.41,1.95,219.83,2,11.08,1.78,0.68,1.71,11.08,1.94,0.53,1.68208,10.56214,1.66865,9.80E-04,1.56066,10.56214,1.61571,8.90E-04
M_CAL_A2,M_CAL,centre,654,Central European mixed forests,54.95999908,11.8127823,51.91316941,R22,R22,arable land,2022,restored,fresh,mowing,6,0.22,4.31,0.3,4.5,4.2825,4.3775,0.68,7.43,0.54,7.38,7.5825,7.4075,1.75,7.05,1.43,216.92,1.67,7.05,2.05,228.36,1.85,11.08,1.67,0.5,1.65,11.08,1.77,0.48,1.52521,10.56214,1.60496,7.30E-04,1.57224,10.56214,1.72837,9.90E-04
M_CAL_A3,M_CAL,centre,654,Central European mixed forests,54.95999908,11.8127823,51.91316941,R22,R22,arable land,2022,restored,fresh,mowing,6,0.17,4.19,0.31,4.56,4.2825,4.3775,0.48,7.59,0.57,7.43,7.5825,7.4075,1.57,7.25,1.56,197.15,1.79,7.25,1.93,218.52,1.59,11.08,1.38,0.58,1.67,11.08,1.86,0.52,1.62772,4.17379,1.67594,3.70E-04,1.41061,4.17379,1.67304,7.90E-04
