id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,esy4,esy16,land.use.hist,obs.year,site.type,fertilized,hydrology,mngm.type,rest.age,fdis.abu.sla,fric.abu.sla,cwm.abu.sla,fdis.pres.sla,fric.pres.sla,cwm.pres.sla,fdis.abu.height,fric.abu.height,cwm.abu.height,fdis.pres.height,fric.pres.height,cwm.pres.height,fdis.abu.seedmass,fric.abu.seedmass,cwm.abu.seedmass,fdis.pres.seedmass,fric.pres.seedmass,cwm.pres.seedmass
M_CBE_A1,M_CBE,centre,654,Central European mixed forests,55.54000092,11.81622602,51.91392502,R,R,NA,2022,negative,0,fresh,mowing,NA,1.46,32.94,253.69,1.69,32.94,260.14,3.68,91.86,0.37,2.9,91.86,0.32,2.20511,12.84056,0.00093,1.93363,12.84056,7.50E-04
M_CBE_A2,M_CBE,centre,654,Central European mixed forests,55.54000092,11.81622602,51.91392502,R,R,NA,2022,negative,0,fresh,mowing,NA,1.19,32.94,232.75,1.77,32.94,277.57,1.78,22.63,0.61,2.36,22.63,0.34,1.22997,11.54387,0.00376,1.76722,11.54387,0.00121
M_CBE_A3,M_CBE,centre,654,Central European mixed forests,55.54000092,11.81622602,51.91392502,R,R,NA,2022,negative,0,fresh,mowing,NA,1.51,5.3,247.72,1.45,5.3,274.75,2.31,91.86,0.47,3.1,91.86,0.29,1.38841,12.84056,0.00333,1.79762,12.84056,8.60E-04
M_CBE_A4,M_CBE,centre,654,Central European mixed forests,55.54000092,11.81622602,51.91392502,R,R,NA,2022,negative,0,fresh,mowing,NA,1.37,13.58,253.97,1.68,13.58,291.13,1.53,91.86,0.71,3.26,91.86,0.35,1.3079,12.84056,0.00236,1.88853,12.84056,7.60E-04
M_DOB_A1,M_DOB,centre,654,Central European mixed forests,124.8199997,11.76306711,51.62001263,R,R,arable land,2022,restored,0,dry,mowing,6,1.61,11.88,203.02,1.68,11.88,210.64,1.52,23.27,0.47,1.75,23.27,0.41,1.57755,9.95363,6.40E-04,1.58057,9.95363,0.00151
M_DOB_A2,M_DOB,centre,654,Central European mixed forests,124.8199997,11.76306711,51.62001263,R1A,R,arable land,2022,restored,0,dry,mowing,6,1.66,10.66,219.33,1.65,10.66,216.34,1.6,27.49,0.46,1.75,27.49,0.41,1.58513,13.63555,8.20E-04,1.70326,13.63555,0.00116
M_DOB_A3,M_DOB,centre,654,Central European mixed forests,124.8199997,11.76306711,51.62001263,R,R,arable land,2022,restored,0,dry,mowing,6,1.66,22.97,191.55,1.83,22.97,203.81,1.57,17.2,0.45,1.62,17.2,0.42,1.53342,13.63555,8.50E-04,1.6397,13.63555,0.00156
M_DOB_A4,M_DOB,centre,654,Central European mixed forests,124.8199997,11.76306711,51.62001263,R,R,arable land,2022,restored,0,dry,mowing,6,1.8,21.84,199.31,1.79,21.84,204.71,1.52,21.03,0.49,1.66,21.03,0.41,1.53944,13.47536,0.0013,1.64948,13.47536,0.00118
M_DOR_A1,M_DOR,centre,654,Central European mixed forests,114.1999969,11.81450305,51.64508573,R22,R22,arable land,2022,restored,0,fresh,mowing,27,1.84,7.55,205.18,1.81,7.55,216.83,1.76,13.71,0.5,1.66,13.71,0.49,2.18306,9.95363,0.00161,1.8579,9.95363,0.00224
M_DOR_A2,M_DOR,centre,654,Central European mixed forests,114.1999969,11.81450305,51.64508573,R,R22,arable land,2022,restored,0,fresh,mowing,27,2.02,5.39,216.32,1.66,5.39,218.6,2.09,22.63,0.64,1.95,22.63,0.53,1.96582,12.30547,0.00101,2.04042,12.30547,0.00139
M_DOR_A3,M_DOR,centre,654,Central European mixed forests,114.1999969,11.81450305,51.64508573,R22,R22,arable land,2022,restored,0,fresh,mowing,27,1.66,8.3,251.21,1.75,8.3,235.61,2.39,9.87,0.71,1.88,9.87,0.5,1.58971,9.95363,0.0023,1.76547,9.95363,0.00149
M_DOR_A4,M_DOR,centre,654,Central European mixed forests,114.1999969,11.81450305,51.64508573,R,R22,arable land,2022,restored,0,fresh,mowing,27,1.34,5.84,252.8,1.65,5.84,234.9,1.43,21.03,0.79,2.22,21.03,0.39,1.49262,11.24168,0.00153,1.82485,11.24168,0.0013
M_EIC_A1,M_EIC,centre,654,Central European mixed forests,56.56999969,12.18899395,51.85716614,R,R,NA,2023,negative,0,fresh,both,NA,1.31,4.01,245.32,1.38,4.01,255.76,1.47,84.03,0.49,2.15,84.03,0.35,1.94101,17.78665,0.00614,2.17865,17.78665,0.00404
M_EIC_A2,M_EIC,centre,654,Central European mixed forests,56.56999969,12.18899395,51.85716614,R,R,NA,2023,negative,0,fresh,both,NA,1.17,1.75,238.55,1.16,1.75,236.76,1.55,13.8,0.59,1.81,13.8,0.53,1.62471,10.89273,0.00143,1.89559,10.89273,0.00193
M_EIC_A3,M_EIC,centre,654,Central European mixed forests,56.56999969,12.18899395,51.85716614,V,R,NA,2023,negative,0,fresh,both,NA,1.23,2.44,234.96,1.31,2.44,246.64,1.64,5.74,0.45,1.72,5.74,0.43,1.64645,14.94876,0.00925,1.90504,14.94876,0.00642
M_EIC_A4,M_EIC,centre,654,Central European mixed forests,56.56999969,12.18899395,51.85716614,R,R,NA,2023,negative,0,fresh,both,NA,1.33,8.9,230.57,1.45,8.9,232.57,1.93,201.99,0.44,3.08,201.99,0.32,1.68769,11.81004,0.00204,1.99168,11.81004,9.70E-04
M_FAL_A1,M_FAL,centre,654,Central European mixed forests,142.5299988,11.35946299,51.74746391,R22,R,arable land,2023,restored,0,fresh,mowing,6,1.39,28.33,238.81,1.81,28.33,254.1,1.42,13.51,0.6,1.71,13.51,0.55,1.50496,6.54827,0.00137,1.48487,6.54827,0.00127
M_FAL_A2,M_FAL,centre,654,Central European mixed forests,142.5299988,11.35946299,51.74746391,V,R,arable land,2023,restored,0,fresh,mowing,6,1.47,28.33,219.9,1.69,28.33,243.13,1.91,55.91,0.4,2.82,55.91,0.28,2.10975,12.84056,0.0012,1.98789,12.84056,3.80E-04
M_FAL_A3,M_FAL,centre,654,Central European mixed forests,142.5299988,11.35946299,51.74746391,R,R,arable land,2023,restored,0,fresh,mowing,6,1.53,28.33,226.99,1.77,28.33,237.15,1.56,13.51,0.58,1.67,13.51,0.53,1.57843,13.79399,0.00201,1.6256,13.79399,0.0014
M_FAL_A4,M_FAL,centre,654,Central European mixed forests,142.5299988,11.35946299,51.74746391,R22,R,arable land,2023,restored,0,fresh,mowing,6,1.32,3.75,221.96,1.44,3.75,232.51,1.6,23.58,0.49,2.17,23.58,0.36,1.63209,11.81004,0.00118,1.68923,11.81004,5.70E-04
M_FRB_A1,M_FRB,centre,654,Central European mixed forests,136.2400055,11.73327072,51.62485865,R,R,grassland,2023,restored,NA,dry,grazing,14,2.65,31.49,156.38,1.95,31.49,220.26,1.39,37.06,0.28,2.07,37.06,0.36,1.81644,17.05323,0.00235,1.83684,17.05323,0.00151
M_FRB_A2,M_FRB,centre,654,Central European mixed forests,136.2400055,11.73327072,51.62485865,V11,R,grassland,2023,restored,NA,dry,grazing,14,2.52,40.5,192.9,2.24,40.5,204.75,2.21,46.31,0.28,2.48,46.31,0.22,1.60931,34.2673,0.0014,1.90388,34.2673,9.00E-04
M_FRB_A3,M_FRB,centre,654,Central European mixed forests,136.2400055,11.73327072,51.62485865,R1A,R,grassland,2023,restored,NA,dry,grazing,14,2.44,40.5,162.06,2.2,40.5,200.42,1.66,78.03,0.27,2.38,78.03,0.26,1.6422,50.62151,0.00272,1.83313,50.62151,0.0011
M_FRB_A4,M_FRB,centre,654,Central European mixed forests,136.2400055,11.73327072,51.62485865,R,R,grassland,2023,restored,NA,dry,grazing,14,2.01,31.49,192.22,1.89,31.49,211,1.75,27.49,0.34,1.88,27.49,0.37,1.85343,24.87794,0.00244,1.87439,24.87794,0.0013
