id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,esy4,esy16,start.rest,rest.meth,obs.year,site.type,hydrology,mngm.type,lui,c.n.B10,c.n,ph.value,clay.perc.B10,clay.perc.B30,silt.perc.B10,silt.perc.B30,sand.perc.B10,sand.perc.B30,clay.perc,silt.perc,sand.perc,rest.meth.type,rest.age,fdis.abu.sla,fric.abu.sla,cwm.abu.sla,fdis.pres.sla,fric.pres.sla,cwm.pres.sla,fdis.abu.height,fric.abu.height,cwm.abu.height,fdis.pres.height,fric.pres.height,cwm.pres.height,fdis.abu.seedmass,fric.abu.seedmass,cwm.abu.seedmass,fdis.pres.seedmass,fric.pres.seedmass,cwm.pres.seedmass
M_DOB_A4,M_DOB,centre,654,Central European mixed forests,124.8199997,11.76306711,51.62001263,R,R,2016,res,2022,restored,dry,mowing,0.690265487,20.6779661,21.26921561,7.41,15,16.5,7.5,78.5,77.5,13.5,15.75,43,45.5,res,6,1.82,18.83,200.15,1.74,18.83,206.45,1.52,15.4,0.49,1.59,15.4,0.41,1.61587,18.04714,0.0013,1.74485,18.04714,0.00118
M_DOR_A1,M_DOR,centre,654,Central European mixed forests,114.1999969,11.81450305,51.64508573,R22,R22,1995,cus,2022,restored,fresh,mowing,1.03539823,13.24626866,10.50471328,7.14,4,11,30,25,66,64,7.5,27.5,65,cus,27,1.78,6.85,205.18,1.76,6.85,216.83,1.66,10.49,0.5,1.57,10.49,0.49,2.38313,12.88467,0.00161,1.99177,12.88467,0.00224
M_DOR_A2,M_DOR,centre,654,Central European mixed forests,114.1999969,11.81450305,51.64508573,R,R22,1995,cus,2022,restored,fresh,mowing,1.03539823,13.24626866,10.50471328,7.14,4,11,30,25,66,64,7.5,27.5,65,cus,27,1.95,4.97,216.32,1.62,4.97,218.6,1.94,16.46,0.64,1.82,16.46,0.53,2.12087,16.3131,0.00101,2.21058,16.3131,0.00139
M_DOR_A3,M_DOR,centre,654,Central European mixed forests,114.1999969,11.81450305,51.64508573,R22,R22,1995,cus,2022,restored,fresh,mowing,1.03539823,13.24626866,10.50471328,7.14,4,11,30,25,66,64,7.5,27.5,65,cus,27,1.62,7.5,251.21,1.71,7.5,235.61,2.21,32.77,0.71,2.05,32.77,0.55,1.67467,12.88467,0.0023,1.88186,12.88467,0.00149
M_DOR_A4,M_DOR,centre,654,Central European mixed forests,114.1999969,11.81450305,51.64508573,R,R22,1995,cus,2022,restored,fresh,mowing,1.03539823,13.24626866,10.50471328,7.14,4,11,30,25,66,64,7.5,27.5,65,cus,27,1.33,5.37,252.8,1.61,5.37,234.9,1.37,15.4,0.8,2.06,15.4,0.42,1.55881,12.31726,0.00153,1.9235,12.31726,0.00134
M_EIC_A1,M_EIC,centre,654,Central European mixed forests,56.56999969,12.18899395,51.85716614,R,R,NA,NA,2023,negative,fresh,both,0.936067719,9.661651529,10.144887,4.815,45,45,52.5,52.5,12.5,12.5,45,52.5,12.5,negative,NA,1.29,3.75,245.32,1.36,3.75,255.76,1.41,53.43,0.49,2.11,53.43,0.35,2.09111,24.57553,0.00614,2.37778,24.57553,0.00404
M_EIC_A2,M_EIC,centre,654,Central European mixed forests,56.56999969,12.18899395,51.85716614,R,R,NA,NA,2023,negative,fresh,both,0.936067719,9.661651529,10.144887,4.815,45,45,52.5,52.5,12.5,12.5,45,52.5,12.5,negative,NA,1.16,1.7,238.55,1.15,1.7,236.76,1.48,10.55,0.59,1.71,10.55,0.53,1.71573,14.24381,0.00143,2.03676,14.24381,0.00193
M_EIC_A3,M_EIC,centre,654,Central European mixed forests,56.56999969,12.18899395,51.85716614,V,R,NA,NA,2023,negative,fresh,both,0.936067719,9.661651529,10.144887,4.815,45,45,52.5,52.5,12.5,12.5,45,52.5,12.5,negative,NA,1.21,2.34,234.96,1.3,2.34,246.64,1.55,4.8,0.48,1.66,4.8,0.44,1.74129,20.25513,0.00925,2.04805,20.25513,0.00642
M_EIC_A4,M_EIC,centre,654,Central European mixed forests,56.56999969,12.18899395,51.85716614,R,R,NA,NA,2023,negative,fresh,both,0.936067719,9.661651529,10.144887,4.815,45,45,52.5,52.5,12.5,12.5,45,52.5,12.5,negative,NA,1.31,8.02,230.57,1.42,8.02,232.57,1.81,117.43,0.44,2.75,117.43,0.32,1.78987,15.58422,0.00204,2.15192,15.58422,9.70E-04
M_FAL_A1,M_FAL,centre,654,Central European mixed forests,142.5299988,11.35946299,51.74746391,R22,R,2017,res,2023,restored,fresh,mowing,1.03539823,9.449992547,10.53478912,6.18,45,45,52.5,52.5,12.5,12.5,45,52.5,12.5,res,6,1.37,24.13,238.81,1.76,24.13,254.1,1.37,10.36,0.6,1.62,10.36,0.55,1.57567,8.0871,0.00137,1.55229,8.0871,0.00127
